,Date,Time,electric consumption,timestamp
0,2013-01-01,00:00,23.6350002288818,2013-01-01 00:00:00
3283,2013-01-01,00:15,24.0574989318848,2013-01-01 00:15:00
6566,2013-01-01,00:30,24.0149993896484,2013-01-01 00:30:00
9849,2013-01-01,00:45,23.6749992370605,2013-01-01 00:45:00
13132,2013-01-01,01:00,23.7924995422363,2013-01-01 01:00:00
16415,2013-01-01,01:15,23.7075004577637,2013-01-01 01:15:00
19698,2013-01-01,01:30,23.5900001525879,2013-01-01 01:30:00
22981,2013-01-01,01:45,24.0224990844727,2013-01-01 01:45:00
26264,2013-01-01,02:00,23.9225006103516,2013-01-01 02:00:00
29547,2013-01-01,02:15,23.8499984741211,2013-01-01 02:15:00
32830,2013-01-01,02:30,23.9524993896484,2013-01-01 02:30:00
36113,2013-01-01,02:45,24.0825004577637,2013-01-01 02:45:00
39396,2013-01-01,03:00,23.9400005340576,2013-01-01 03:00:00
42679,2013-01-01,03:15,23.8349990844727,2013-01-01 03:15:00
45962,2013-01-01,03:30,24.5449981689453,2013-01-01 03:30:00
49245,2013-01-01,03:45,23.8250007629395,2013-01-01 03:45:00
52528,2013-01-01,04:00,24.0625,2013-01-01 04:00:00
55811,2013-01-01,04:15,23.8849983215332,2013-01-01 04:15:00
59094,2013-01-01,04:30,23.7049999237061,2013-01-01 04:30:00
62377,2013-01-01,04:45,23.7649993896484,2013-01-01 04:45:00
65660,2013-01-01,05:00,23.6650009155273,2013-01-01 05:00:00
68943,2013-01-01,05:15,23.5774993896484,2013-01-01 05:15:00
72226,2013-01-01,05:30,23.6499996185303,2013-01-01 05:30:00
75509,2013-01-01,05:45,23.8800010681152,2013-01-01 05:45:00
78792,2013-01-01,06:00,24.8575000762939,2013-01-01 06:00:00
82075,2013-01-01,06:15,24.1124992370605,2013-01-01 06:15:00
85358,2013-01-01,06:30,24.4449996948242,2013-01-01 06:30:00
88641,2013-01-01,06:45,24.2974987030029,2013-01-01 06:45:00
91924,2013-01-01,07:00,24.8824996948242,2013-01-01 07:00:00
95207,2013-01-01,07:15,26.4074993133545,2013-01-01 07:15:00
98490,2013-01-01,07:30,26.2625007629395,2013-01-01 07:30:00
101773,2013-01-01,07:45,26.5474987030029,2013-01-01 07:45:00
105056,2013-01-01,08:00,26.7124996185303,2013-01-01 08:00:00
108339,2013-01-01,08:15,27.6174964904785,2013-01-01 08:15:00
111622,2013-01-01,08:30,25.7224998474121,2013-01-01 08:30:00
114905,2013-01-01,08:45,25.3524990081787,2013-01-01 08:45:00
118188,2013-01-01,09:00,25.3299999237061,2013-01-01 09:00:00
121471,2013-01-01,09:15,25.1499996185303,2013-01-01 09:15:00
124754,2013-01-01,09:30,25.4899997711182,2013-01-01 09:30:00
128037,2013-01-01,09:45,24.7425003051758,2013-01-01 09:45:00
131320,2013-01-01,10:00,24.5099983215332,2013-01-01 10:00:00
134603,2013-01-01,10:15,24.7574996948242,2013-01-01 10:15:00
137886,2013-01-01,10:30,24.8824996948242,2013-01-01 10:30:00
141169,2013-01-01,10:45,24.2900009155273,2013-01-01 10:45:00
144452,2013-01-01,11:00,24.5949993133545,2013-01-01 11:00:00
147735,2013-01-01,11:15,25.1749992370605,2013-01-01 11:15:00
151018,2013-01-01,11:30,25.0650005340576,2013-01-01 11:30:00
154301,2013-01-01,11:45,25.1924991607666,2013-01-01 11:45:00
157584,2013-01-01,12:00,25.4849987030029,2013-01-01 12:00:00
160867,2013-01-01,12:15,25.1800003051758,2013-01-01 12:15:00
164150,2013-01-01,12:30,24.7024993896484,2013-01-01 12:30:00
167433,2013-01-01,12:45,25.4775009155273,2013-01-01 12:45:00
170716,2013-01-01,13:00,25.7799987792969,2013-01-01 13:00:00
173999,2013-01-01,13:15,24.9274997711182,2013-01-01 13:15:00
177282,2013-01-01,13:30,25.3924980163574,2013-01-01 13:30:00
180565,2013-01-01,13:45,25.0575008392334,2013-01-01 13:45:00
183848,2013-01-01,14:00,25.0249996185303,2013-01-01 14:00:00
187131,2013-01-01,14:15,26.1299991607666,2013-01-01 14:15:00
190414,2013-01-01,14:30,26.2449989318848,2013-01-01 14:30:00
193697,2013-01-01,14:45,25.9549980163574,2013-01-01 14:45:00
196980,2013-01-01,15:00,26.3299980163574,2013-01-01 15:00:00
200263,2013-01-01,15:15,25.9524993896484,2013-01-01 15:15:00
203546,2013-01-01,15:30,26.1399993896484,2013-01-01 15:30:00
206829,2013-01-01,15:45,25.8299980163574,2013-01-01 15:45:00
210112,2013-01-01,16:00,25.4274997711182,2013-01-01 16:00:00
213395,2013-01-01,16:15,25.7150001525879,2013-01-01 16:15:00
216678,2013-01-01,16:30,24.9774990081787,2013-01-01 16:30:00
219961,2013-01-01,16:45,26.7325000762939,2013-01-01 16:45:00
223244,2013-01-01,17:00,27.3400001525879,2013-01-01 17:00:00
226527,2013-01-01,17:15,27.0299987792969,2013-01-01 17:15:00
229810,2013-01-01,17:30,27.6724967956543,2013-01-01 17:30:00
233093,2013-01-01,17:45,27.1799983978271,2013-01-01 17:45:00
236376,2013-01-01,18:00,27.2924995422363,2013-01-01 18:00:00
239659,2013-01-01,18:15,28.3700008392334,2013-01-01 18:15:00
242942,2013-01-01,18:30,27.6399993896484,2013-01-01 18:30:00
246225,2013-01-01,18:45,27.504997253418,2013-01-01 18:45:00
249508,2013-01-01,19:00,27.9249973297119,2013-01-01 19:00:00
252791,2013-01-01,19:15,27.7149982452393,2013-01-01 19:15:00
256074,2013-01-01,19:30,28.1224975585938,2013-01-01 19:30:00
259357,2013-01-01,19:45,28.5450019836426,2013-01-01 19:45:00
262640,2013-01-01,20:00,27.9650001525879,2013-01-01 20:00:00
265923,2013-01-01,20:15,27.8450012207031,2013-01-01 20:15:00
269206,2013-01-01,20:30,28.2299995422363,2013-01-01 20:30:00
272489,2013-01-01,20:45,27.6450004577637,2013-01-01 20:45:00
275772,2013-01-01,21:00,27.9924983978271,2013-01-01 21:00:00
279055,2013-01-01,21:15,28.7900009155273,2013-01-01 21:15:00
282338,2013-01-01,21:30,27.8850002288818,2013-01-01 21:30:00
285621,2013-01-01,21:45,28.6350021362305,2013-01-01 21:45:00
288904,2013-01-01,22:00,27.7000007629395,2013-01-01 22:00:00
292187,2013-01-01,22:15,25.6549987792969,2013-01-01 22:15:00
