,date,ind,rain,ind.1,temp,ind.2,wetb,dewpt,vappr,rhum,msl,ind.3,wdsp,ind.4,wddir,ww,w,sun,vis,clht,clamt,timestamp,electric consumption
0,2013-01-01 00:00:00,0,0.0,0,2.7,0,2.1,1.2,6.6,89,1000.0,2,15,2,240,2,11,0.0,30000,60,4,2013-01-01 00:00:00,3.779999911785126
1,2013-01-01 01:00:00,0,0.0,0,3.2,0,2.4,1.1,6.6,86,1000.5,2,16,2,240,2,11,0.0,30000,999,3,2013-01-01 01:00:00,4.057499945163726
2,2013-01-01 02:00:00,0,0.0,0,2.7,0,2.1,1.1,6.6,89,1000.9,2,15,2,240,2,11,0.0,30000,999,2,2013-01-01 02:00:00,3.759999930858612
3,2013-01-01 03:00:00,0,0.0,0,2.5,0,1.9,1.0,6.5,89,1001.5,2,14,2,240,2,11,0.0,30000,999,2,2013-01-01 03:00:00,3.439999878406526
4,2013-01-01 04:00:00,0,0.0,0,2.7,0,2.1,1.2,6.6,89,1002.1,2,13,2,240,2,11,0.0,30000,999,2,2013-01-01 04:00:00,3.409999907016755
5,2013-01-01 05:00:00,0,0.0,0,2.3,0,1.8,0.9,6.6,91,1002.5,2,14,2,240,2,11,0.0,30000,999,2,2013-01-01 05:00:00,3.6100000143051174
6,2013-01-01 06:00:00,0,0.0,0,1.9,0,1.4,0.6,6.4,91,1003.5,2,16,2,250,2,11,0.0,30000,999,2,2013-01-01 06:00:00,3.909999847412113
7,2013-01-01 07:00:00,0,0.0,0,2.0,0,1.4,0.4,6.3,89,1004.4,2,16,2,250,2,11,0.0,35000,999,2,2013-01-01 07:00:00,4.51749980449675
8,2013-01-01 08:00:00,0,0.0,0,2.1,0,1.5,0.5,6.3,89,1005.3,2,17,2,250,2,11,0.0,35000,999,2,2013-01-01 08:00:00,4.67249989509582
9,2013-01-01 09:00:00,0,0.0,0,1.8,0,1.3,0.5,6.3,91,1006.6,2,17,2,260,2,11,0.3,35000,999,1,2013-01-01 09:00:00,4.424999892711639
10,2013-01-01 10:00:00,0,0.0,0,2.5,0,1.9,0.8,6.5,89,1007.6,2,18,2,250,2,11,0.8,35000,999,3,2013-01-01 10:00:00,3.519999921321869
11,2013-01-01 11:00:00,0,0.0,0,3.2,0,2.4,1.0,6.6,86,1008.5,2,18,2,250,2,11,0.4,35000,220,6,2013-01-01 11:00:00,3.754999876022341
12,2013-01-01 12:00:00,0,0.0,0,4.9,0,3.6,1.7,6.9,79,1009.3,2,18,2,250,2,11,0.9,35000,220,6,2013-01-01 12:00:00,4.314999938011169
13,2013-01-01 13:00:00,0,0.0,0,5.2,0,4.0,2.1,7.2,81,1009.6,2,17,2,260,2,11,0.1,35000,220,5,2013-01-01 13:00:00,4.68999981880188
14,2013-01-01 14:00:00,0,0.0,0,5.6,0,4.4,2.6,7.4,81,1010.6,2,16,2,250,2,11,0.1,35000,35,6,2013-01-01 14:00:00,3.502499997615814
15,2013-01-01 15:00:00,0,0.0,0,5.9,0,4.6,2.8,7.4,80,1011.2,2,11,2,260,2,11,0.0,35000,35,6,2013-01-01 15:00:00,3.66999989748001
