,Date,Time,electric consumption,timestamp
0,2013-01-01,00:00,24.8624992370605,2013-01-01 00:00:00
3096,2013-01-01,00:15,24.7799987792969,2013-01-01 00:15:00
6192,2013-01-01,00:30,25.1999988555908,2013-01-01 00:30:00
9288,2013-01-01,00:45,25.5149993896484,2013-01-01 00:45:00
12384,2013-01-01,01:00,24.8125,2013-01-01 01:00:00
15480,2013-01-01,01:15,25.1574993133545,2013-01-01 01:15:00
18576,2013-01-01,01:30,25.1599998474121,2013-01-01 01:30:00
21672,2013-01-01,01:45,25.0399990081787,2013-01-01 01:45:00
24768,2013-01-01,02:00,25.5424995422363,2013-01-01 02:00:00
27864,2013-01-01,02:15,25.3074989318848,2013-01-01 02:15:00
30960,2013-01-01,02:30,25.4475002288818,2013-01-01 02:30:00
34056,2013-01-01,02:45,25.5,2013-01-01 02:45:00
37152,2013-01-01,03:00,25.5074996948242,2013-01-01 03:00:00
40248,2013-01-01,03:15,26.0174999237061,2013-01-01 03:15:00
43344,2013-01-01,03:30,25.8274993896484,2013-01-01 03:30:00
46440,2013-01-01,03:45,25.457498550415,2013-01-01 03:45:00
49536,2013-01-01,04:00,25.5849990844727,2013-01-01 04:00:00
52632,2013-01-01,04:15,25.3274993896484,2013-01-01 04:15:00
55728,2013-01-01,04:30,25.0674991607666,2013-01-01 04:30:00
58824,2013-01-01,04:45,25.7425003051758,2013-01-01 04:45:00
61920,2013-01-01,05:00,25.0100002288818,2013-01-01 05:00:00
65016,2013-01-01,05:15,25.0749988555908,2013-01-01 05:15:00
68112,2013-01-01,05:30,24.8424987792969,2013-01-01 05:30:00
71208,2013-01-01,05:45,25.2749996185303,2013-01-01 05:45:00
74304,2013-01-01,06:00,26.252498626709,2013-01-01 06:00:00
77400,2013-01-01,06:15,26.019998550415,2013-01-01 06:15:00
80496,2013-01-01,06:30,25.7824993133545,2013-01-01 06:30:00
83592,2013-01-01,06:45,26.1049995422363,2013-01-01 06:45:00
86688,2013-01-01,07:00,25.9499988555908,2013-01-01 07:00:00
89784,2013-01-01,07:15,26.0499992370605,2013-01-01 07:15:00
92880,2013-01-01,07:30,26.3099994659424,2013-01-01 07:30:00
95976,2013-01-01,07:45,25.5774993896484,2013-01-01 07:45:00
99072,2013-01-01,08:00,25.7649993896484,2013-01-01 08:00:00
102168,2013-01-01,08:15,25.8274993896484,2013-01-01 08:15:00
105264,2013-01-01,08:30,22.8824996948242,2013-01-01 08:30:00
108360,2013-01-01,08:45,21.8374996185303,2013-01-01 08:45:00
111456,2013-01-01,09:00,22.6474990844727,2013-01-01 09:00:00
114552,2013-01-01,09:15,21.2624988555908,2013-01-01 09:15:00
117648,2013-01-01,09:30,20.8649997711182,2013-01-01 09:30:00
120744,2013-01-01,09:45,20.6175003051758,2013-01-01 09:45:00
123840,2013-01-01,10:00,20.6625003814697,2013-01-01 10:00:00
126936,2013-01-01,10:15,20.5550003051758,2013-01-01 10:15:00
130032,2013-01-01,10:30,20.6599998474121,2013-01-01 10:30:00
133128,2013-01-01,10:45,20.0849990844727,2013-01-01 10:45:00
136224,2013-01-01,11:00,20.2724990844727,2013-01-01 11:00:00
139320,2013-01-01,11:15,20.4324989318848,2013-01-01 11:15:00
142416,2013-01-01,11:30,20.3699989318848,2013-01-01 11:30:00
145512,2013-01-01,11:45,20.7999992370605,2013-01-01 11:45:00
148608,2013-01-01,12:00,20.6149997711182,2013-01-01 12:00:00
151704,2013-01-01,12:15,21.1499996185303,2013-01-01 12:15:00
154800,2013-01-01,12:30,20.8649997711182,2013-01-01 12:30:00
