,Date,00:00:00,01:00:00,02:00:00,03:00:00,04:00:00,05:00:00,06:00:00,07:00:00,08:00:00,09:00:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,building,month,DayOfWeek,hour,season,weekday,term_time,term_week,IsHoliday,Cluster,prob_1,prob_2,prob_3
0,2022-12-07,64.47749710083008,65.02249717712402,64.4124984741211,68.01499938964844,60.31249809265137,69.0074987411499,95.9524974822998,127.92499923706055,134.4499969482422,137.83499908447266,138.93999862670898,128.40749740600586,126.21749687194824,138.80249786376953,116.20499610900879,107.14249610900879,102.35249900817871,87.10749816894531,79.52249908447266,76.25999641418457,68.92749977111816,61.139997482299805,57.692498207092285,58.82999801635742,Quinn_Business,12,2,0,1,1,1,1,1,2,0.0,0.0,1.0
1,2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenomenab9,3,3,0,2,1,1,1,1,0,1.0,0.0,0.0
2,2021-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashfield,9,3,0,4,1,1,1,1,0,1.0,0.0,0.0
3,2018-09-09,21.6875,21.652499675750732,21.219999313354492,21.8149995803833,21.88249969482422,20.28249979019165,17.18499994277954,19.149999618530273,20.00499963760376,19.997498989105225,20.297500133514404,19.679999351501465,19.457499980926514,19.8125,20.042499542236328,20.047499656677246,19.99749994277954,19.369999885559082,17.082499980926514,21.10249948501587,22.259999752044678,21.964999675750732,21.25499963760376,22.019999980926514,Sutherland_Law,9,6,0,4,0,1,0,0,2,0.0,0.0,1.0
4,2019-06-01,4.3399999141693115,3.8649999499320984,3.384999930858612,3.1700000166893005,3.1024999022483826,3.099999964237213,4.557499885559082,4.68999981880188,5.359999895095825,6.074999928474426,6.429999828338623,6.172499775886536,5.289999842643738,5.694999814033508,6.319999814033508,4.677500009536743,5.699999809265137,5.294999957084656,7.147499918937682,8.024999976158142,9.127500057220459,8.009999632835388,6.2774999141693115,4.477499902248383,Glenomenab10,6,5,0,3,0,0,0,0,0,1.0,0.0,0.0
5,2021-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vet_science,12,3,0,1,1,0,0,0,0,1.0,0.0,0.0
6,2017-03-13,7.4974998235702515,5.822499871253967,5.009999752044678,4.614999890327454,4.414999842643738,4.182499885559082,5.6499998569488525,6.457499861717224,7.43999981880188,7.734999656677245,7.467499732971191,6.964999794960022,6.642499923706055,7.792499661445618,9.319999933242798,9.162499904632568,6.764999866485596,8.357499957084656,9.464999914169312,12.482499599456787,11.9375,13.53999948501587,13.377500057220459,9.967499732971191,Glenomenab9,3,0,0,2,1,1,1,1,0,1.0,0.0,0.0
7,2017-10-25,72.0099983215332,71.78749656677246,73.70499801635742,73.6624984741211,72.35249900817871,113.82499885559082,139.51749801635742,162.4599952697754,180.21999740600586,196.50249481201172,198.28499603271484,202.3524932861328,208.44749450683594,201.92999649047852,190.65249633789062,191.75499725341797,162.55999374389648,162.0824966430664,153.36749649047852,139.1824951171875,130.2624969482422,83.46499824523926,72.46999931335449,70.51249885559082,Quinn_Business,10,2,0,4,1,1,1,1,2,0.0,0.0,1.0
8,2022-09-18,3.317499876022339,2.7949999570846558,2.8249999284744263,2.6024999618530273,2.7324999570846558,4.0249998569488525,4.107499778270721,5.234999895095825,5.727499842643738,7.827499866485596,7.322499871253967,6.159999847412109,5.539999842643738,5.297499895095825,4.8724998235702515,5.822499752044678,8.28249990940094,7.28249990940094,8.947499871253967,9.28499960899353,9.577499628067017,8.617499828338623,6.989999771118164,5.037499904632568,Glenomenab10,9,6,0,4,0,1,0,0,0,1.0,0.0,0.0
9,2017-01-04,5.817499995231628,5.062499761581422,4.479999899864197,4.232499837875366,3.757499873638153,4.082499861717224,4.074999809265137,6.757499933242798,7.144999742507935,8.289999961853027,8.424999594688416,7.719999790191651,9.707499742507935,9.424999713897705,6.774999737739563,7.34499990940094,9.319999814033508,11.539999723434448,11.017499685287476,11.959999561309814,14.289999723434448,11.387499570846558,9.204999685287476,6.987499833106995,Glenomenab10,1,2,0,1,1,1,1,1,0,1.0,0.0,0.0
10,2022-06-04,159.05249579250813,166.78749642521143,146.89749435335398,153.41749303787947,147.93499497324228,152.9899989515543,153.149993814528,161.44250012934208,167.67749278992414,156.51750127226114,162.86749364435673,158.9224979057908,152.51249364763498,149.6249973103404,158.9424942880869,147.49249843508005,143.1874973922968,153.8974959626794,145.47249680757523,159.86750061064959,158.14499431848526,153.20999683439732,159.869998075068,159.34999586641788,vet_science,6,5,0,3,0,0,0,0,2,0.0,0.0,1.0
11,2017-08-01,18.607500076293945,18.78999948501587,18.59500026702881,18.87999963760376,17.755000114440918,22.69999933242798,23.799999713897705,43.089999198913574,48.53999900817871,49.67999839782715,52.507497787475586,47.60999870300293,44.272499084472656,44.154998779296875,44.204999923706055,43.95249938964844,35.39999961853027,30.75499963760376,26.042499542236328,24.312499523162842,25.989999294281006,20.50499963760376,18.419999599456787,18.63499927520752,Sutherland_Law,8,1,0,3,1,0,0,0,2,0.0,0.0,1.0
12,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashfield,12,3,0,1,1,0,0,0,0,1.0,0.0,0.0
13,2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vet_science,1,4,0,1,1,1,1,1,0,1.0,0.0,0.0
14,2022-12-23,32.97249889373779,32.989999771118164,28.785000324249268,20.432499885559082,20.13249921798706,21.997499465942383,36.474998474121094,39.10499858856201,46.07249927520752,38.4424991607666,35.85249900817871,33.397499084472656,29.274999141693115,37.8774995803833,38.59499931335449,42.76999855041504,39.412498474121094,32.03499889373779,31.747498989105225,35.929999351501465,40.494998931884766,27.467499256134033,21.994999408721924,20.03249979019165,Sutherland_Law,12,4,0,1,1,0,0,0,2,0.0,0.0,1.0
15,2019-01-29,8.204999923706055,7.049999952316284,6.067499876022339,6.054999828338623,5.482499837875366,5.787499904632568,7.187499880790711,8.507499814033508,10.649999618530273,11.239999771118164,9.617499589920044,8.649999737739563,9.979999780654907,10.994999647140503,9.899999976158142,10.079999923706055,11.447499513626099,11.3149995803833,13.857499599456787,18.13249921798706,16.212499618530273,16.707499265670776,13.979999780654907,11.654999732971191,Glenomenab9,1,1,0,1,1,1,1,1,0,1.0,0.0,0.0
16,2019-03-05,86.30499792098999,53.97499918937683,38.91499900817871,37.50249940156937,30.94499945640564,32.117499351501465,26.494999289512634,34.85564398765564,69.58060383796692,105.00708651542664,133.98999762535095,114.00501823425293,93.05078011751175,96.08214670419693,115.37646222114563,91.59202933311462,81.45763444900513,88.53191208839417,107.48999643325806,110.23749732971191,136.64249801635742,156.13499641418457,217.34249782562256,175.2449951171875,Ashfield,3,1,0,2,1,1,1,1,2,0.0,0.0,1.0
17,2017-04-08,6.312499761581421,5.692499995231628,5.432500004768372,4.379999876022339,4.332499861717224,4.409999847412109,4.547499895095825,7.0874998569488525,8.559999704360962,12.422499656677246,8.977499842643738,9.119999885559082,11.56749963760376,10.25249981880188,7.537499904632568,6.689999938011169,9.272499799728394,10.324999809265137,10.927499771118164,13.019999980926514,15.369999647140503,16.299999713897705,10.72249960899353,7.659999847412109,Glenomenab9,4,5,0,2,0,1,0,0,2,0.0,0.0,1.0
18,2022-06-18,6.102499961853027,5.924999952316284,5.2774999141693115,5.222499966621399,4.647499918937683,5.079999923706055,5.5274999141693115,6.829999923706055,6.812499761581421,8.00249981880188,6.9999998807907104,8.572499871253967,8.289999842643738,9.587499737739563,7.4024999141693115,7.399999976158142,8.072499752044678,9.507499694824219,9.587499618530273,8.024999856948853,10.327499866485596,10.067500114440918,9.469999551773071,8.397499799728394,Glenomenab9,6,5,0,3,0,0,0,0,0,1.0,0.0,0.0
19,2018-01-02,19.279999613761902,17.847499668598175,14.744999647140503,16.119999825954437,14.60999971628189,13.909999668598175,15.299999594688416,16.934999525547028,18.90749955177307,23.54999953508377,25.394999563694,21.17499965429306,27.27499932050705,19.744999587535858,22.64499980211258,26.354999512434006,28.05499941110611,26.14999920129776,27.137499272823334,32.87499928474426,39.04749894142151,37.95749890804291,130.61499869823456,52.20999950170517,Ashfield,1,1,0,1,1,1,1,1,2,0.0,0.0,1.0
20,2021-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vet_science,5,6,0,2,0,0,0,0,0,1.0,0.0,0.0
21,2017-09-18,20.112499237060547,20.014999866485596,20.229999542236328,19.749999046325684,19.987499713897705,29.419999599456787,33.57249927520752,61.879998207092285,77.10249900817871,86.90499877929688,89.189998626709,88.35999870300293,88.09499931335449,83.87249946594238,68.92749881744386,77.31499862670898,54.094998359680176,40.94499969482422,38.967498779296875,37.949997901916504,33.04999828338623,24.524999618530273,20.637499809265137,20.354999542236328,Sutherland_Law,9,0,0,4,1,1,1,1,2,0.0,0.0,1.0
22,2023-08-04,145.14999721944332,147.81249501556158,144.83749715983868,144.65499387681484,138.13499619811773,156.02499230206013,217.29999612271786,268.92999409139156,261.027489349246,270.9149940237403,277.99999110400677,250.35749070346355,254.59249617904425,258.4599981755018,235.67749182879925,215.87999656051397,179.45500020682812,164.54499588906765,146.03249975293875,161.45749820768833,161.439996086061,153.29999773204327,150.6774976104498,155.28250017017126,vet_science,8,4,0,3,1,0,0,0,1,0.0,1.0,0.0
23,2017-09-26,30.07249927520752,29.302499532699585,20.52499943971634,18.859999656677246,16.042499482631683,20.802499413490295,29.97730392217636,67.1789438724518,79.60359144210815,77.75870966911316,69.62406086921692,67.73476433753967,58.82976460456848,62.968982458114624,63.286288142204285,56.03511607646942,76.89320087432861,85.7081241607666,104.83722400665283,95.20499801635742,101.93499660491943,187.04249668121338,144.51999521255493,55.054999470710754,Ashfield,9,1,0,4,1,1,1,1,2,0.0,0.0,1.0
24,2022-04-19,4.3399999141693115,3.994999885559082,3.4200000166893005,3.1524998545646667,3.2249999046325684,4.342499852180481,5.362499833106995,6.989999771118164,6.307499885559082,7.142499804496765,6.337499976158142,7.5975000858306885,7.589999675750733,8.917500019073486,9.90999984741211,7.242499947547913,6.549999833106995,8.082499861717224,9.372499704360962,9.584999680519104,9.855000019073486,8.97499966621399,7.697499632835388,5.9374998807907104,Glenomenab10,4,1,0,2,1,1,1,1,0,1.0,0.0,0.0
25,2020-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenomenab10,5,1,0,2,1,0,0,0,0,1.0,0.0,0.0
26,2018-04-09,6.0274999141693115,5.754999876022339,5.557499885559082,5.259999990463257,4.982499837875366,6.069999933242798,7.204999923706055,9.552499771118164,9.019999742507935,9.774999618530273,9.209999799728394,9.452499628067017,10.592499732971191,9.582499742507935,10.10249948501587,10.274999856948853,12.31499981880188,10.444999933242798,13.31999945640564,16.854999542236328,14.134999513626099,12.759999752044678,10.25499963760376,7.827499747276306,Glenomenab9,4,0,0,2,1,1,1,1,0,1.0,0.0,0.0
27,2018-05-11,22.832499504089355,20.829999923706055,21.579999446868896,21.587499618530273,21.29499912261963,24.63249921798706,28.109999179840088,43.37999868392944,48.057498931884766,51.742499351501465,53.27999782562256,55.29999923706055,54.492499351501465,50.27249813079834,50.11749839782715,49.39249897003174,43.894999504089355,38.432498931884766,35.5024995803833,32.399999141693115,32.55749845504761,27.149999618530273,22.00999927520752,21.6299991607666,Sutherland_Law,5,4,0,2,1,0,0,0,2,0.0,0.0,1.0
28,2020-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sutherland_Law,8,5,0,3,0,0,0,0,0,1.0,0.0,0.0
29,2023-09-29,159.8774954676628,157.05249720811844,152.94249653816223,151.9499989449978,159.84499762952328,174.47499150037766,220.47499909996986,279.4949968457222,277.7449916303158,316.12248611450195,297.3599918484688,294.8949938416481,280.52249616384506,273.70499062538147,273.50999161601067,245.77249318361282,191.6874960809946,184.1974979043007,178.74499821662903,162.37749372422695,151.78749224543571,152.09499660134315,151.7199969291687,153.20999939739704,vet_science,9,4,0,4,1,1,1,1,1,0.0,1.0,0.0
30,2021-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashfield,3,5,0,2,0,1,0,0,0,1.0,0.0,0.0
31,2017-11-23,72.27749824523926,71.93999671936035,72.38249778747559,71.89999771118164,71.76749610900879,72.1724967956543,107.39249801635742,145.92999649047852,161.9749984741211,177.0849952697754,197.6024932861328,213.2899932861328,206.68249893188477,202.0049934387207,209.7074966430664,199.4124984741211,194.84499740600586,181.95999908447266,159.42249298095703,145.62999725341797,134.41749572753906,127.7349967956543,88.92499732971191,77.92749786376953,Quinn_Business,11,3,0,4,1,1,1,1,2,0.0,0.0,1.0
32,2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Glenomenab10,3,5,0,2,0,1,0,0,0,1.0,0.0,0.0
33,2017-11-19,174.53249782323837,162.47999477386475,170.75999546051025,164.39249509572983,161.0549967288971,162.30749356746674,164.93999427556992,164.8649954199791,164.63499110937119,171.74999487400055,170.80749654769897,174.62249898910522,167.17999225854874,181.61249780654907,174.61749798059464,176.52749866247177,172.9349969625473,176.78999948501587,172.88499701023102,174.0674945116043,171.5774953365326,173.9699968099594,167.4174965620041,171.2724964618683,vet_science,11,6,0,4,0,1,0,0,2,0.0,0.0,1.0
34,2018-02-08,66.16249811649323,43.29749917984009,40.34999895095825,38.00249910354614,23.864999771118164,17.967499613761902,24.50749945640564,29.214999556541443,54.54812359809876,75.42218542098999,93.51683402061462,85.05226421356201,100.02609133720398,77.88226389884949,101.96441149711609,97.72960686683655,81.99972414970398,96.02702975273132,107.03999662399292,135.6374969482422,147.1274971961975,132.4699969291687,191.62999534606934,141.7374951839447,Ashfield,2,3,0,1,1,1,1,1,2,0.0,0.0,1.0
35,2022-04-22,6.87749981880188,5.634999871253967,4.904999852180481,4.517500042915344,4.392499804496765,5.394999861717224,5.8749998807907104,7.167499780654907,7.337499976158142,8.824999928474426,8.162499785423279,8.372499942779541,8.552499890327454,11.042499780654907,9.50499963760376,8.47499942779541,10.319999933242798,10.107499837875366,11.68999981880188,12.169999599456787,10.892499685287476,9.767499923706055,8.524999499320984,7.452499747276306,Glenomenab9,4,4,0,2,1,1,1,1,0,1.0,0.0,0.0
