,Date,Time,electric consumption,timestamp
1235,01/01/2013,00:00,24.8624992370605,2013-01-01 00:00:00
6581,01/01/2013,00:15,24.7799987792969,2013-01-01 00:15:00
11927,01/01/2013,00:30,25.1999988555908,2013-01-01 00:30:00
17273,01/01/2013,00:45,25.5149993896484,2013-01-01 00:45:00
22619,01/01/2013,01:00,24.8125,2013-01-01 01:00:00
27965,01/01/2013,01:15,25.1574993133545,2013-01-01 01:15:00
33311,01/01/2013,01:30,25.1599998474121,2013-01-01 01:30:00
38657,01/01/2013,01:45,25.0399990081787,2013-01-01 01:45:00
44003,01/01/2013,02:00,25.5424995422363,2013-01-01 02:00:00
49349,01/01/2013,02:15,25.3074989318848,2013-01-01 02:15:00
54695,01/01/2013,02:30,25.4475002288818,2013-01-01 02:30:00
60041,01/01/2013,02:45,25.5,2013-01-01 02:45:00
65387,01/01/2013,03:00,25.5074996948242,2013-01-01 03:00:00
70733,01/01/2013,03:15,26.0174999237061,2013-01-01 03:15:00
76079,01/01/2013,03:30,25.8274993896484,2013-01-01 03:30:00
81425,01/01/2013,03:45,25.457498550415,2013-01-01 03:45:00
86771,01/01/2013,04:00,25.5849990844727,2013-01-01 04:00:00
92117,01/01/2013,04:15,25.3274993896484,2013-01-01 04:15:00
97463,01/01/2013,04:30,25.0674991607666,2013-01-01 04:30:00
102809,01/01/2013,04:45,25.7425003051758,2013-01-01 04:45:00
108155,01/01/2013,05:00,25.0100002288818,2013-01-01 05:00:00
113501,01/01/2013,05:15,25.0749988555908,2013-01-01 05:15:00
118847,01/01/2013,05:30,24.8424987792969,2013-01-01 05:30:00
124193,01/01/2013,05:45,25.2749996185303,2013-01-01 05:45:00
129539,01/01/2013,06:00,26.252498626709,2013-01-01 06:00:00
134885,01/01/2013,06:15,26.019998550415,2013-01-01 06:15:00
140231,01/01/2013,06:30,25.7824993133545,2013-01-01 06:30:00
145577,01/01/2013,06:45,26.1049995422363,2013-01-01 06:45:00
150923,01/01/2013,07:00,25.9499988555908,2013-01-01 07:00:00
156269,01/01/2013,07:15,26.0499992370605,2013-01-01 07:15:00
161615,01/01/2013,07:30,26.3099994659424,2013-01-01 07:30:00
166961,01/01/2013,07:45,25.5774993896484,2013-01-01 07:45:00
172307,01/01/2013,08:00,25.7649993896484,2013-01-01 08:00:00
177653,01/01/2013,08:15,25.8274993896484,2013-01-01 08:15:00
182999,01/01/2013,08:30,22.8824996948242,2013-01-01 08:30:00
188345,01/01/2013,08:45,21.8374996185303,2013-01-01 08:45:00
193691,01/01/2013,09:00,22.6474990844727,2013-01-01 09:00:00
199037,01/01/2013,09:15,21.2624988555908,2013-01-01 09:15:00
204383,01/01/2013,09:30,20.8649997711182,2013-01-01 09:30:00
209729,01/01/2013,09:45,20.6175003051758,2013-01-01 09:45:00
215075,01/01/2013,10:00,20.6625003814697,2013-01-01 10:00:00
220421,01/01/2013,10:15,20.5550003051758,2013-01-01 10:15:00
225767,01/01/2013,10:30,20.6599998474121,2013-01-01 10:30:00
231113,01/01/2013,10:45,20.0849990844727,2013-01-01 10:45:00
236459,01/01/2013,11:00,20.2724990844727,2013-01-01 11:00:00
241805,01/01/2013,11:15,20.4324989318848,2013-01-01 11:15:00
247151,01/01/2013,11:30,20.3699989318848,2013-01-01 11:30:00
252497,01/01/2013,11:45,20.7999992370605,2013-01-01 11:45:00
257843,01/01/2013,12:00,20.6149997711182,2013-01-01 12:00:00
263189,01/01/2013,12:15,21.1499996185303,2013-01-01 12:15:00
268535,01/01/2013,12:30,20.8649997711182,2013-01-01 12:30:00
273881,01/01/2013,12:45,21.0399990081787,2013-01-01 12:45:00
279227,01/01/2013,13:00,20.8125,2013-01-01 13:00:00
284573,01/01/2013,13:15,21.627498626709,2013-01-01 13:15:00
289919,01/01/2013,13:30,21.3024997711182,2013-01-01 13:30:00
295265,01/01/2013,13:45,21.5,2013-01-01 13:45:00
300611,01/01/2013,14:00,21.1124992370605,2013-01-01 14:00:00
305957,01/01/2013,14:15,21.1224994659424,2013-01-01 14:15:00
311303,01/01/2013,14:30,21.25,2013-01-01 14:30:00
316649,01/01/2013,14:45,21.4475002288818,2013-01-01 14:45:00
321995,01/01/2013,15:00,21.6374988555908,2013-01-01 15:00:00
327341,01/01/2013,15:15,20.7624988555908,2013-01-01 15:15:00
332687,01/01/2013,15:30,20.8349990844727,2013-01-01 15:30:00
338033,01/01/2013,15:45,20.9025001525879,2013-01-01 15:45:00
343379,01/01/2013,16:00,21.2999992370605,2013-01-01 16:00:00
348725,01/01/2013,16:15,22.0224990844727,2013-01-01 16:15:00
354071,01/01/2013,16:30,21.6224994659424,2013-01-01 16:30:00
359417,01/01/2013,16:45,25.5424995422363,2013-01-01 16:45:00
364763,01/01/2013,17:00,25.9475002288818,2013-01-01 17:00:00
370109,01/01/2013,17:15,26.0399990081787,2013-01-01 17:15:00
375455,01/01/2013,17:30,26.4749984741211,2013-01-01 17:30:00
380801,01/01/2013,17:45,25.9300003051758,2013-01-01 17:45:00
386147,01/01/2013,18:00,25.582498550415,2013-01-01 18:00:00
391493,01/01/2013,18:15,25.4799995422363,2013-01-01 18:15:00
396839,01/01/2013,18:30,25.3374996185303,2013-01-01 18:30:00
402185,01/01/2013,18:45,25.5349998474121,2013-01-01 18:45:00
407531,01/01/2013,19:00,26.0424995422363,2013-01-01 19:00:00
412877,01/01/2013,19:15,25.8499984741211,2013-01-01 19:15:00
418223,01/01/2013,19:30,25.8374996185303,2013-01-01 19:30:00
423569,01/01/2013,19:45,25.5849990844727,2013-01-01 19:45:00
428915,01/01/2013,20:00,26.1075000762939,2013-01-01 20:00:00
434261,01/01/2013,20:15,26.1099987030029,2013-01-01 20:15:00
439607,01/01/2013,20:30,27.0124988555908,2013-01-01 20:30:00
444953,01/01/2013,20:45,26.1949996948242,2013-01-01 20:45:00
450299,01/01/2013,21:00,25.9449996948242,2013-01-01 21:00:00
455645,01/01/2013,21:15,26.3649997711182,2013-01-01 21:15:00
460991,01/01/2013,21:30,26.1374988555908,2013-01-01 21:30:00
466337,01/01/2013,21:45,26.1049995422363,2013-01-01 21:45:00
471683,01/01/2013,22:00,26.1949996948242,2013-01-01 22:00:00
477029,01/01/2013,22:15,25.6324996948242,2013-01-01 22:15:00
482375,01/01/2013,22:30,25.8050003051758,2013-01-01 22:30:00
487721,01/01/2013,22:45,25.519998550415,2013-01-01 22:45:00
493067,01/01/2013,23:00,25.7899990081787,2013-01-01 23:00:00
498413,01/01/2013,23:15,26.3850002288818,2013-01-01 23:15:00
503759,01/01/2013,23:30,25.4899997711182,2013-01-01 23:30:00
509105,01/01/2013,23:45,25.4499988555908,2013-01-01 23:45:00
1265,01/02/2013,00:00,31.3449993133545,2013-01-02 00:00:00
6611,01/02/2013,00:15,31.1849994659424,2013-01-02 00:15:00
